479,0,0
1,-15.5304401,0.00000077
2,-19.20524621,0.00000076
9,-22.53909993,0.00000071
33,-19.45074236,0.00000068
11,-20.70971094,0.0000007
12,-21.76989794,0.00000071
13,-19.92294476,0.00000072
14,-17.43318995,0.00000073
15,-15.62949095,0.00000074
10,5.07695815,0.00000049
17,4.95907917,0.00000047
18,8.57283909,0.00000045
115,-23.67923895,0.00000059
19,-22.48591205,0.00000075
20,-21.14037519,0.00000071
16,-20.08082998,0.00000076
21,-20.36673001,0.00000069
22,5.18621321,0.00000048
23,5.80538018,0.00000049
24,4.66097213,0.00000048
25,5.35502324,0.00000047
26,6.10659717,0.00000047
31,5.54359591,0.00000046
41,6.93216801,0.00000044
52,5.7051411,0.00000043
70,12.43280516,0.00000041
32,-20.8536866,0.00000072
42,-14.00892898,0.0000007
27,4.92015611,0.0000005
34,3.88850431,0.00000048
28,3.18063733,0.0000005
29,5.42814658,0.00000049
30,4.15613848,0.00000048
35,4.84291456,0.0000005
36,4.0101975,0.00000051
37,3.00251646,0.00000051
40,6.35079778,0.00000045
44,-21.8836817,0.00000068
45,-14.62830293,0.00000069
54,5.69857143,0.00000043
38,12.45025772,0.00000058
39,11.67604873,0.00000054
47,14.75132072,0.00000056
48,12.27504272,0.00000053
49,7.67624762,0.00000046
50,7.96611654,0.00000045
51,5.72079282,0.00000044
43,-15.7491718,0.00000068
56,-18.81679793,0.00000059
46,-18.77115187,0.0000007
58,-13.66508874,0.00000065
55,5.91473127,0.00000042
94,14.45326613,0.0000004
132,13.59145246,0.00000041
133,12.89345836,0.00000039
75,-26.3803409,0.0000006
76,-26.49499493,0.00000059
77,-25.31351595,0.0000006
78,-20.34862599,0.00000059
79,-22.46735698,0.0000006
80,-21.27947194,0.00000059
57,-17.90458875,0.00000065
64,-17.93804375,0.00000068
81,-16.80886175,0.0000006
65,-17.38526163,0.0000006
59,17.82996511,0.00000042
60,17.9358162,0.00000044
71,19.68636902,0.00000042
96,14.3834993,0.00000041
97,17.60562401,0.00000042
61,18.04696464,0.00000045
72,19.0915749,0.00000043
62,19.29549672,0.00000046
413,28.02407757,0.00000048
63,-16.88165094,0.00000076
145,-17.33064839,0.00000051
66,-17.29184039,0.00000051
67,-17.93273339,0.0000005
82,-22.94521038,0.00000049
68,-18.4964024,0.00000048
69,-20.13683939,0.00000045
83,-21.08486743,0.00000048
84,-15.50191795,0.00000048
85,-17.98177634,0.00000047
86,-19.07596225,0.00000047
87,-19.2112833,0.00000047
88,-18.61986157,0.00000046
89,-17.68708672,0.00000046
90,-17.39434094,0.00000046
91,-17.39231318,0.00000045
92,-17.34444531,0.00000045
93,-16.99911441,0.00000045
95,14.73717013,0.00000042
137,15.69942192,0.00000041
412,28.95453151,0.00000048
73,-19.9130079,0.00000064
74,-22.83444189,0.00000063
98,-25.59119187,0.00000058
99,-23.860775,0.00000058
100,-23.19789705,0.00000057
101,-23.01421203,0.00000058
122,-13.82266062,0.00000065
102,-16.58097723,0.00000047
103,-18.80754196,0.00000046
104,-19.43719523,0.00000047
105,-20.38710439,0.00000046
106,-20.48696089,0.00000045
107,-20.04460698,0.00000045
108,-17.297009,0.00000044
109,-17.16775675,0.00000044
110,-17.3516321,0.00000045
243,-13.36897885,0.00000044
134,15.38986804,0.00000041
153,17.41138194,0.00000039
154,18.420307,0.00000038
111,16.67854905,0.00000042
112,13.48114884,0.00000042
113,18.59817885,0.00000042
114,16.88354391,0.00000042
116,-29.28069903,0.00000059
117,-24.23048133,0.00000056
118,-24.82140802,0.00000058
119,-24.78924292,0.00000058
121,-18.41036124,0.00000058
123,-17.59843633,0.00000045
124,-19.59708809,0.00000046
125,-20.10595599,0.00000045
126,-19.92802697,0.00000045
127,-18.36433709,0.00000044
128,-17.89595421,0.00000044
129,-17.88404328,0.00000044
130,-18.54338436,0.00000045
135,13.40946395,0.00000041
136,16.63923091,0.00000042
138,-28.927281,0.00000056
140,-20.36855337,0.00000058
141,-23.80670723,0.00000056
142,-25.0760708,0.00000056
120,-23.14575775,0.00000061
143,-18.57773901,0.00000057
158,-22.46698595,0.00000056
159,-17.71923048,0.00000056
146,-21.44868202,0.00000044
169,-14.58303025,0.00000045
147,-20.77417784,0.00000045
148,-18.17370229,0.00000044
149,-18.40146425,0.00000044
131,14.7768401,0.00000047
150,12.64083776,0.00000038
151,13.40565357,0.00000038
152,18.07197306,0.00000039
179,18.09583698,0.00000039
193,21.91836789,0.00000038
411,31.60455949,0.00000048
139,-22.65506947,0.00000058
155,-23.46866631,0.00000054
364,-21.63898827,0.0000005
156,-21.01064941,0.00000056
157,-21.46856757,0.00000058
144,-18.20663539,0.00000055
160,-16.75081939,0.00000056
168,-16.95706238,0.00000055
170,-17.11552907,0.00000046
171,-19.9716031,0.00000045
172,-17.79165608,0.00000045
187,-17.63425614,0.00000044
241,-7.91845807,0.00000044
242,-10.72078005,0.00000046
206,10.4205072,0.00000044
208,13.6346814,0.0000004
209,10.25253376,0.00000037
161,18.31883891,0.00000038
162,20.49753892,0.0000004
163,19.60571894,0.00000039
164,19.85311201,0.00000039
165,18.75525007,0.00000038
166,20.8492711,0.00000038
167,-25.96468825,0.00000055
194,-26.14601428,0.00000053
173,17.64982284,0.00000039
174,18.91081291,0.00000039
175,19.17524308,0.00000038
176,18.66820811,0.00000038
177,19.91663708,0.00000038
178,19.74262421,0.00000037
182,-18.30088349,0.00000045
183,-17.6642925,0.00000045
184,-17.80584693,0.00000044
195,-15.10566445,0.00000046
185,-16.95135102,0.00000045
186,-18.44236113,0.00000045
